,county,occupied_units,vacant_units,year,percent_occupied,total_units
0,"Adams County, Ohio",10835,2085,2018,0.8386222910216719,12920
1,"Allen County, Ohio",40537,4526,2018,0.8995628342542662,45063
2,"Ashland County, Ohio",20439,1811,2018,0.9186067415730337,22250
3,"Ashtabula County, Ohio",37652,8455,2018,0.8166222048712777,46107
4,"Athens County, Ohio",22620,3990,2018,0.8500563697857948,26610
5,"Auglaize County, Ohio",18723,1129,2018,0.9431291557525691,19852
6,"Belmont County, Ohio",26200,6011,2018,0.8133867312408805,32211
7,"Brown County, Ohio",17434,2614,2018,0.8696129289704708,20048
8,"Butler County, Ohio",138226,12972,2018,0.9142052143546873,151198
9,"Carroll County, Ohio",11126,2520,2018,0.8153304997801554,13646
10,"Champaign County, Ohio",15209,1584,2018,0.9056749836241291,16793
11,"Clark County, Ohio",54905,6405,2018,0.895530908497798,61310
12,"Clermont County, Ohio",77181,5649,2018,0.9318000724375226,82830
13,"Clinton County, Ohio",16370,1808,2018,0.9005391132137749,18178
14,"Columbiana County, Ohio",41854,4964,2018,0.8939724037763254,46818
15,"Coshocton County, Ohio",14461,1994,2018,0.8788210270434519,16455
16,"Crawford County, Ohio",17755,2298,2018,0.8854036802473445,20053
17,"Cuyahoga County, Ohio",538531,80261,2018,0.8702940568074571,618792
18,"Darke County, Ohio",20838,2006,2018,0.9121870075293294,22844
19,"Defiance County, Ohio",15213,1594,2018,0.9051585648836794,16807
20,"Delaware County, Ohio",68649,3310,2018,0.9540015842354674,71959
21,"Erie County, Ohio",31301,6558,2018,0.8267783089886157,37859
22,"Fairfield County, Ohio",55748,4825,2018,0.9203440476780084,60573
23,"Fayette County, Ohio",11736,1024,2018,0.9197492163009404,12760
24,"Franklin County, Ohio",504702,45957,2018,0.9165418162601537,550659
25,"Fulton County, Ohio",16425,1095,2018,0.9375,17520
26,"Gallia County, Ohio",11662,2230,2018,0.8394759573855456,13892
27,"Geauga County, Ohio",35285,1790,2018,0.9517194875252866,37075
28,"Greene County, Ohio",65406,4472,2018,0.9360027476458971,69878
29,"Guernsey County, Ohio",16098,3187,2018,0.8347420274824994,19285
