id,Geographic Area Name,Year,Population
0500000US39001,"Adams County, Ohio",2018,27878
0500000US39003,"Allen County, Ohio",2018,103642
0500000US39005,"Ashland County, Ohio",2018,53477
0500000US39007,"Ashtabula County, Ohio",2018,98136
0500000US39009,"Athens County, Ohio",2018,65936
0500000US39011,"Auglaize County, Ohio",2018,45784
0500000US39013,"Belmont County, Ohio",2018,68472
0500000US39015,"Brown County, Ohio",2018,43679
0500000US39017,"Butler County, Ohio",2018,378294
0500000US39019,"Carroll County, Ohio",2018,27578
0500000US39021,"Champaign County, Ohio",2018,38864
0500000US39023,"Clark County, Ohio",2018,135198
0500000US39025,"Clermont County, Ohio",2018,203216
0500000US39027,"Clinton County, Ohio",2018,41896
0500000US39029,"Columbiana County, Ohio",2018,104003
0500000US39031,"Coshocton County, Ohio",2018,36574
0500000US39033,"Crawford County, Ohio",2018,42021
0500000US39035,"Cuyahoga County, Ohio",2018,1253783
0500000US39037,"Darke County, Ohio",2018,51734
0500000US39039,"Defiance County, Ohio",2018,38279
0500000US39041,"Delaware County, Ohio",2018,197008
0500000US39043,"Erie County, Ohio",2018,75136
0500000US39045,"Fairfield County, Ohio",2018,152910
0500000US39047,"Fayette County, Ohio",2018,28645
0500000US39049,"Franklin County, Ohio",2018,1275333
0500000US39051,"Fulton County, Ohio",2018,42305
0500000US39053,"Gallia County, Ohio",2018,30195
0500000US39055,"Geauga County, Ohio",2018,93961
0500000US39057,"Greene County, Ohio",2018,165811
0500000US39059,"Guernsey County, Ohio",2018,39274
0500000US39061,"Hamilton County, Ohio",2018,812037
0500000US39063,"Hancock County, Ohio",2018,75690
0500000US39065,"Hardin County, Ohio",2018,31542
0500000US39067,"Harrison County, Ohio",2018,15307
0500000US39069,"Henry County, Ohio",2018,27316
0500000US39071,"Highland County, Ohio",2018,43007
0500000US39073,"Hocking County, Ohio",2018,28495
0500000US39075,"Holmes County, Ohio",2018,43859
0500000US39077,"Huron County, Ohio",2018,58457
0500000US39079,"Jackson County, Ohio",2018,32524
0500000US39081,"Jefferson County, Ohio",2018,66886
0500000US39083,"Knox County, Ohio",2018,61215
0500000US39085,"Lake County, Ohio",2018,230052
0500000US39087,"Lawrence County, Ohio",2018,60622
0500000US39089,"Licking County, Ohio",2018,172293
0500000US39091,"Logan County, Ohio",2018,45307
0500000US39093,"Lorain County, Ohio",2018,306713
0500000US39095,"Lucas County, Ohio",2018,432379
0500000US39097,"Madison County, Ohio",2018,43988
0500000US39099,"Mahoning County, Ohio",2018,231064
0500000US39101,"Marion County, Ohio",2018,65344
0500000US39103,"Medina County, Ohio",2018,177257
0500000US39105,"Meigs County, Ohio",2018,23160
0500000US39107,"Mercer County, Ohio",2018,40806
0500000US39109,"Miami County, Ohio",2018,104800
0500000US39111,"Monroe County, Ohio",2018,14090
0500000US39113,"Montgomery County, Ohio",2018,532034
0500000US39115,"Morgan County, Ohio",2018,14702
0500000US39117,"Morrow County, Ohio",2018,34976
0500000US39119,"Muskingum County, Ohio",2018,86076
0500000US39121,"Noble County, Ohio",2018,14443
0500000US39123,"Ottawa County, Ohio",2018,40709
0500000US39125,"Paulding County, Ohio",2018,18872
0500000US39127,"Perry County, Ohio",2018,35985
0500000US39129,"Pickaway County, Ohio",2018,57420
0500000US39131,"Pike County, Ohio",2018,28214
0500000US39133,"Portage County, Ohio",2018,162644
0500000US39135,"Preble County, Ohio",2018,41207
0500000US39137,"Putnam County, Ohio",2018,33969
0500000US39139,"Richland County, Ohio",2018,121324
0500000US39141,"Ross County, Ohio",2018,77051
0500000US39143,"Sandusky County, Ohio",2018,59299
0500000US39145,"Scioto County, Ohio",2018,76377
0500000US39147,"Seneca County, Ohio",2018,55475
0500000US39149,"Shelby County, Ohio",2018,48797
0500000US39151,"Stark County, Ohio",2018,373475
0500000US39153,"Summit County, Ohio",2018,541810
0500000US39155,"Trumbull County, Ohio",2018,201794
0500000US39157,"Tuscarawas County, Ohio",2018,92526
0500000US39159,"Union County, Ohio",2018,55654
0500000US39161,"Van Wert County, Ohio",2018,28281
0500000US39163,"Vinton County, Ohio",2018,13111
0500000US39165,"Warren County, Ohio",2018,226564
0500000US39167,"Washington County, Ohio",2018,60671
0500000US39169,"Wayne County, Ohio",2018,116208
0500000US39171,"Williams County, Ohio",2018,36936
0500000US39173,"Wood County, Ohio",2018,129936
0500000US39175,"Wyandot County, Ohio",2018,22107
0500000US39001,"Adams County, Ohio",2010,28578
0500000US39003,"Allen County, Ohio",2010,106586
0500000US39005,"Ashland County, Ohio",2010,53341
0500000US39007,"Ashtabula County, Ohio",2010,101867
0500000US39009,"Athens County, Ohio",2010,64455
0500000US39011,"Auglaize County, Ohio",2010,46023
0500000US39013,"Belmont County, Ohio",2010,70403
0500000US39015,"Brown County, Ohio",2010,44618
0500000US39017,"Butler County, Ohio",2010,363465
0500000US39019,"Carroll County, Ohio",2010,28988
0500000US39021,"Champaign County, Ohio",2010,40140
0500000US39023,"Clark County, Ohio",2010,139374
0500000US39025,"Clermont County, Ohio",2010,195312
0500000US39027,"Clinton County, Ohio",2010,42416
0500000US39029,"Columbiana County, Ohio",2010,108609
0500000US39031,"Coshocton County, Ohio",2010,37046
0500000US39033,"Crawford County, Ohio",2010,44294
0500000US39035,"Cuyahoga County, Ohio",2010,1293825
0500000US39037,"Darke County, Ohio",2010,52945
0500000US39039,"Defiance County, Ohio",2010,39119
0500000US39041,"Delaware County, Ohio",2010,166108
0500000US39043,"Erie County, Ohio",2010,77454
0500000US39045,"Fairfield County, Ohio",2010,143949
0500000US39047,"Fayette County, Ohio",2010,28913
0500000US39049,"Franklin County, Ohio",2010,1141117
0500000US39051,"Fulton County, Ohio",2010,42756
0500000US39053,"Gallia County, Ohio",2010,30943
0500000US39055,"Geauga County, Ohio",2010,93604
0500000US39057,"Greene County, Ohio",2010,159940
0500000US39059,"Guernsey County, Ohio",2010,40351
0500000US39061,"Hamilton County, Ohio",2010,802194
0500000US39063,"Hancock County, Ohio",2010,74670
0500000US39065,"Hardin County, Ohio",2010,32104
0500000US39067,"Harrison County, Ohio",2010,15867
0500000US39069,"Henry County, Ohio",2010,28546
0500000US39071,"Highland County, Ohio",2010,43648
0500000US39073,"Hocking County, Ohio",2010,29338
0500000US39075,"Holmes County, Ohio",2010,42068
0500000US39077,"Huron County, Ohio",2010,59932
0500000US39079,"Jackson County, Ohio",2010,33165
0500000US39081,"Jefferson County, Ohio",2010,70041
0500000US39083,"Knox County, Ohio",2010,60201
0500000US39085,"Lake County, Ohio",2010,229418
0500000US39087,"Lawrence County, Ohio",2010,62647
0500000US39089,"Licking County, Ohio",2010,163708
0500000US39091,"Logan County, Ohio",2010,46006
0500000US39093,"Lorain County, Ohio",2010,299605
0500000US39095,"Lucas County, Ohio",2010,444046
0500000US39097,"Madison County, Ohio",2010,42844
0500000US39099,"Mahoning County, Ohio",2010,241899
0500000US39101,"Marion County, Ohio",2010,66530
0500000US39103,"Medina County, Ohio",2010,170137
0500000US39105,"Meigs County, Ohio",2010,23649
0500000US39107,"Mercer County, Ohio",2010,40958
0500000US39109,"Miami County, Ohio",2010,102315
0500000US39111,"Monroe County, Ohio",2010,14751
0500000US39113,"Montgomery County, Ohio",2010,538461
0500000US39115,"Morgan County, Ohio",2010,15113
0500000US39117,"Morrow County, Ohio",2010,34815
0500000US39119,"Muskingum County, Ohio",2010,85951
0500000US39121,"Noble County, Ohio",2010,14634
0500000US39123,"Ottawa County, Ohio",2010,41553
0500000US39125,"Paulding County, Ohio",2010,19679
0500000US39127,"Perry County, Ohio",2010,35843
0500000US39129,"Pickaway County, Ohio",2010,55128
0500000US39131,"Pike County, Ohio",2010,28674
0500000US39133,"Portage County, Ohio",2010,159943
0500000US39135,"Preble County, Ohio",2010,42502
0500000US39137,"Putnam County, Ohio",2010,34647
